fishbase_id,Order,Family,Species,Occurrence,FishBase name,Name,Link,image_counts,image_page_link
5564,Acanthuriformes,Chaetodontidae,Chaetodon lineolatus,native,Lined butterflyfish,Kīkākapu,https://www.fishbase.se/Country/CountrySpeciesSummary.php?c_code=840B&id=5564,49,https://www.fishbase.se/photos/thumbnailssummary.php?ID=5564
5565,Acanthuriformes,Chaetodontidae,Chaetodon lunula,native,Raccoon butterflyfish,Kīkākapu,https://www.fishbase.se/Country/CountrySpeciesSummary.php?c_code=840B&id=5565,64,https://www.fishbase.se/photos/thumbnailssummary.php?ID=5565
14300,Acanthuriformes,Chaetodontidae,Chaetodon lunulatus,native,Oval butterflyfish,Kapuhili,https://www.fishbase.se/Country/CountrySpeciesSummary.php?c_code=840B&id=14300,44,https://www.fishbase.se/photos/thumbnailssummary.php?ID=14300
5568,Acanthuriformes,Chaetodontidae,Chaetodon meyeri,native,Scrawled butterflyfish,,https://www.fishbase.se/Country/CountrySpeciesSummary.php?c_code=840B&id=5568,38,https://www.fishbase.se/photos/thumbnailssummary.php?ID=5568
5136,Acanthuriformes,Chaetodontidae,Chaetodon miliaris,native,Millet butterflyfish,Lau-wiliwili,https://www.fishbase.se/Country/CountrySpeciesSummary.php?c_code=840B&id=5136,15,https://www.fishbase.se/photos/thumbnailssummary.php?ID=5136
7810,Acanthuriformes,Chaetodontidae,Chaetodon multicinctus,native,Pebbled butterflyfish,Kikakapu,https://www.fishbase.se/Country/CountrySpeciesSummary.php?c_code=840B&id=7810,9,https://www.fishbase.se/photos/thumbnailssummary.php?ID=7810
6550,Acanthuriformes,Chaetodontidae,Chaetodon ornatissimus,native,Ornate butterflyfish,Kīkākapu,https://www.fishbase.se/Country/CountrySpeciesSummary.php?c_code=840B&id=6550,43,https://www.fishbase.se/photos/thumbnailssummary.php?ID=6550
5572,Acanthuriformes,Chaetodontidae,Chaetodon quadrimaculatus,native,Fourspot butterflyfish,Lau-hau,https://www.fishbase.se/Country/CountrySpeciesSummary.php?c_code=840B&id=5572,18,https://www.fishbase.se/photos/thumbnailssummary.php?ID=5572
5574,Acanthuriformes,Chaetodontidae,Chaetodon reticulatus,native,Mailed butterflyfish,Reticulated butterfly,https://www.fishbase.se/Country/CountrySpeciesSummary.php?c_code=840B&id=5574,19,https://www.fishbase.se/photos/thumbnailssummary.php?ID=5574
5577,Acanthuriformes,Chaetodontidae,Chaetodon tinkeri,native,Hawaiian butterflyfish,Tinker's butterfly,https://www.fishbase.se/Country/CountrySpeciesSummary.php?c_code=840B&id=5577,13,https://www.fishbase.se/photos/thumbnailssummary.php?ID=5577
5578,Acanthuriformes,Chaetodontidae,Chaetodon trifascialis,native,Chevron butterflyfish,Acropora butterfly,https://www.fishbase.se/Country/CountrySpeciesSummary.php?c_code=840B&id=5578,64,https://www.fishbase.se/photos/thumbnailssummary.php?ID=5578
5579,Acanthuriformes,Chaetodontidae,Chaetodon trifasciatus,native,Melon butterflyfish,Three-banded butterfly,https://www.fishbase.se/Country/CountrySpeciesSummary.php?c_code=840B&id=5579,48,https://www.fishbase.se/photos/thumbnailssummary.php?ID=5579
5580,Acanthuriformes,Chaetodontidae,Chaetodon ulietensis,native,Pacific double-saddle butterflyfish,Pacific double-saddle butterflyfish,https://www.fishbase.se/Country/CountrySpeciesSummary.php?c_code=840B&id=5580,37,https://www.fishbase.se/photos/thumbnailssummary.php?ID=5580
5581,Acanthuriformes,Chaetodontidae,Chaetodon unimaculatus,native,Teardrop butterflyfish,Kīkākapu,https://www.fishbase.se/Country/CountrySpeciesSummary.php?c_code=840B&id=5581,39,https://www.fishbase.se/photos/thumbnailssummary.php?ID=5581
52893,Acropomatiformes,Champsodontidae,Champsodon fimbriatus,native,,,https://www.fishbase.se/Country/CountrySpeciesSummary.php?c_code=840B&id=52893,0,https://www.fishbase.se/photos/thumbnailssummary.php?ID=52893
8701,Anabantiformes,Channidae,Channa maculata,introduced,Blotched snakehead,Blotched snakehead,https://www.fishbase.se/Country/CountrySpeciesSummary.php?c_code=840B&id=8701,25,https://www.fishbase.se/photos/thumbnailssummary.php?ID=8701
343,Anabantiformes,Channidae,Channa striata,introduced,Striped snakehead,I'a pâkç,https://www.fishbase.se/Country/CountrySpeciesSummary.php?c_code=840B&id=343,95,https://www.fishbase.se/photos/thumbnailssummary.php?ID=343
1097,Anguilliformes,Muraenidae,Channomuraena vittata,native,Broadbanded moray,,https://www.fishbase.se/Country/CountrySpeciesSummary.php?c_code=840B&id=1097,12,https://www.fishbase.se/photos/thumbnailssummary.php?ID=1097
80,Gonorynchiformes,Chanidae,Chanos chanos,native,Milkfish,Awa,https://www.fishbase.se/Country/CountrySpeciesSummary.php?c_code=840B&id=80,134,https://www.fishbase.se/photos/thumbnailssummary.php?ID=80
24580,Pleuronectiformes,Bothidae,Chascanopsetta crumenalis,native,,,https://www.fishbase.se/Country/CountrySpeciesSummary.php?c_code=840B&id=24580,0,https://www.fishbase.se/photos/thumbnailssummary.php?ID=24580
24561,Pleuronectiformes,Bothidae,Chascanopsetta prorigera,native,,,https://www.fishbase.se/Country/CountrySpeciesSummary.php?c_code=840B&id=24561,2,https://www.fishbase.se/photos/thumbnailssummary.php?ID=24561
1786,Stomiiformes,Stomiidae,Chauliodus sloani,native,Sloane's viperfish,Sloan's viper fish,https://www.fishbase.se/Country/CountrySpeciesSummary.php?c_code=840B&id=1786,67,https://www.fishbase.se/photos/thumbnailssummary.php?ID=1786
